cluster_number	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Cluster 0	-0.46348124256776135	0.0031338404572410217	0.30887350588442875	1.7149519434500415	0.6012655669598188	0.07622176939859243	0.0423816306817841	-0.06803659445949983	-0.3781321067527326	-0.8198793203732448	-1.0172989926786675
Cluster 1	-1.679305380120166	-1.0277800344520156	-0.510666377743765	0.5121152381660257	0.05650601602769165	0.11683804828860217	0.6075948888449019	0.5560099776269423	0.6383265880332887	0.39482663575594157	0.3355343995725527
Cluster 2	1.897193765617649	0.8468209133463752	0.16634640157073438	0.17243917159720423	-0.08771565141819117	-0.10889067416401202	-0.2951748206238627	-0.3143971464298916	-0.547826235165525	-0.7370371337263263	-0.9917585906041542
Cluster 3	-1.0221714916423705	-1.1455061959632031	-0.9960869812205554	-0.7407081784384447	-0.26299537978470794	0.052543508062640125	0.321717319249021	0.7073775534038547	0.9494106635778563	1.11882821581831	1.0175909669376006
Cluster 4	-1.2285891562407445	-0.6271078211667217	1.4174645573733051	-0.2103336134592421	0.042852679721396406	-0.24457720742101374	0.43340379655897565	0.19766028800372168	0.21358611153308427	0.022970485651611666	-0.017330120554373357
Cluster 5	0.19921495731265992	1.0711027548922747	1.3877150965407266	0.5033991961044535	0.45306046964430763	0.06303449689404036	-0.21804667762612226	-0.372704275188623	-0.6518854648714338	-1.1082141340389138	-1.3266764196633694
Cluster 6	-0.6635726224668066	-0.7612083519405466	-0.6442779360031842	-0.6420171624147293	-0.568827973779229	-0.49506848706509415	-0.2546697594669647	0.12736435198562293	0.7020923744360639	1.337867197932977	1.862318368781891
Cluster 7	1.9014227656794476	-1.1847394241720015	-0.3635361857803046	-0.04323604097733476	-0.14434530452793248	-0.12117478496251785	-0.006801674734182216	0.14535131967010267	0.05964718222522575	-0.03574610775262416	-0.2068417446678772
Cluster 8	-0.6809310120528465	-0.7762367646712636	-0.6641614250018658	-0.018420970595515562	1.411658993747292	1.040632390936001	0.18049974549934886	0.4078263873246179	-0.05344786383080774	-0.3047765996994338	-0.5426428816555271
Cluster 9	-1.0929114733071223	1.6657791109178643	-0.41791133281297216	-0.40386523347969094	-0.21782408727940544	-0.01592886550708905	-0.08831045269468321	0.08573867455017256	0.3245210807867554	0.1232494955212455	0.03746308330492655
